aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,90.4,44,48.1,168,91.1,19,93.0,10,96.0,1,95.8,1,46 : 54,"20,298",40%,11.0,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,2,20,private,99.7,1,80.0,60,64.5,156,91.2,20,89.7,8,93.1,2,43 : 57,"15,878",23%,7.4,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/stanford-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,3,30,private,99.0,4,99.7,16,77.5,83,90.5,30,88.5,9,88.4,8,38 : 62,"11,231",34%,8.7,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/massachusetts-institute-technology
Harvard University,,United States,0,Harvard University,466,4,40,private,98.0,6,45.1,195,70.6,113,90.4,40,91.7,5,91.2,5,48 : 52,"20,595",26%,9.1,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
Princeton University,,United States,0,Princeton University,469,5,50,private,99.2,2,92.5,36,53.3,234,89.3,50,87.3,12,91.6,4,45 : 55,"7,996",24%,8.2,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,60,master_account,82.5,103,36.8,331,87.7,30,88.6,60,93.2,3,92.9,3,46 : 54,"18,749",37%,10.9,"Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-cambridge
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,7,70,master_account,91.9,31,35.6,378,86.5,36,87.0,70,87.2,13,87.2,10,52 : 48,"10,028",70%,11.8,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/london-school-economics-and-political-science
Yale University,,United States,0,Yale University,475,8,80,private,92.8,28,35.1,402,63.1,168,86.9,80,88.5,10,90.2,6,50 : 50,"12,318",20%,5.2,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
University of Chicago,,United States,11,University of Chicago,473,9,90,private,86.4,67,33.8,494,49.6,274,85.1,90,92.7,4,88.7,7,44 : 56,"13,562",25%,6.1,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-chicago
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,10,100,public,90.4,43,77.7,63,26.1,532,83.8,100,95.6,2,80.6,12,48 : 52,"41,831",17%,8.3,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-michigan-ann-arbor
