aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,10,private,99.8,5,91.2,38,84.7,79,95.1,10,97.0,4,92.0,4,42 : 58,"15,845",22%,7.5,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,2,20,private,96.8,21,96.3,30,49.3,281,93.7,20,100.0,1,95.2,1,31 : 69,"2,209",27%,6.5,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,98.8,12,58.4,126,90.1,47,93.5,30,97.1,3,91.6,6,46 : 54,"20,409",38%,11.2,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,40,private,98.7,13,89.2,43,85.2,74,93.3,40,92.1,11,92.2,2,37 : 63,"11,177",34%,8.7,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
University of Cambridge,,United Kingdom,0,University of Cambridge,470,5,50,master_account,94.6,29,67.2,93,91.9,37,92.9,50,96.8,5,92.0,3,45 : 55,"18,389",35%,10.9,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
Princeton University,,United States,0,Princeton University,469,6,60,private,98.0,14,56.6,132,81.0,97,91.6,60,93.9,8,91.8,5,45 : 55,"7,955",24%,8.3,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
Peking University,,China,0,Peking University,514,7,70,master_account,95.2,26,99.7,17,40.1,357,88.9,70,95.1,7,87.3,9,47 : 53,"42,136",16%,8.9,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/peking-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,8,80,master_account,89.0,54,78.4,61,94.1,23,88.7,80,90.0,15,87.7,8,51 : 49,"30,602",30%,17.0,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
ETH Zurich,,Switzerland,0,ETH Zurich,479,9,90,master_account,92.4,41,44.0,228,94.9,21,88.2,90,93.3,9,84.9,13,31 : 69,"19,233",38%,14.6,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
Imperial College London,,United Kingdom,0,Imperial College London,472,10,100,master_account,88.1,58,68.8,83,95.6,16,87.9,100,88.1,17,88.6,7,37 : 63,"15,857",55%,11.4,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
Georgia Institute of Technology,,United States,0,Georgia Institute of Technology,488,11,110,public,94.4,31,52.6,158,71.9,154,87.8,110,96.0,6,83.2,16,31 : 69,"20,773",27%,20.7,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
